,Start Time,End Time,EN,ES,Highlight,Comments,Speaker,Interview
804,00:43:10:09,00:43:14:12,who has a normal life.,que tiene una vida normal.,,,jose,fuego
805,00:43:14:14,00:43:16:22,"There are few things,","Hay pocas cosas,",,,jose,fuego
806,00:43:16:22,00:43:19:22,but enough to live on.,pero suficientes para vivir.,,,jose,fuego
807,00:43:20:00,00:43:22:22,Here wealth is not measured,Aquí la riqueza no se mide,,,jose,fuego
808,00:43:22:22,00:43:26:12,"for material things, but for spiritual wealth.","por lo material, sino la riqueza espiritual.",,,jose,fuego
809,00:43:26:17,00:43:27:23,We have a wise man,Tenemos un sabio,,,jose,fuego
810,00:43:27:23,00:43:31:00,"who is an authority that has a lot of wisdom, but","que es una autoridad que tiene mucha sabiduría, pero",,,jose,fuego
811,00:43:31:02,00:43:34:16,"Well, he doesn't have cattle or anything, but he is wise,","bueno, no tiene ganado ni nada, pero es sabio,",,,jose,fuego
812,00:43:34:18,00:43:38:16,has the right to the house with,tiene el derecho de la casa con,,,jose,fuego
813,00:43:38:18,00:43:39:23,the chubs.,los cachos.,,,jose,fuego
814,00:43:39:23,00:43:42:02,"So, how","¿Entonces, como",,,jose,fuego
815,00:43:42:02,00:43:45:10,can you comment that the big house is the same house,puedes comentar que la casa grande es la misma casa,,,jose,fuego
816,00:43:45:10,00:43:50:19,"So, the hut house is the same as the mountain?","¿O sea, la casa de la choza es lo mismo como la montaña?",,,jose,fuego
817,00:43:50:21,00:43:54:14,The temple is what is most explained.,El templo es lo que más se explica.,,,jose,fuego
818,00:43:54:16,00:43:57:04,You enter xxxx,Usted entra al xxxx,,,jose,fuego
819,00:43:57:04,00:44:01:03,and look inside.,y mira su interior.,,,jose,fuego
820,00:44:01:05,00:44:03:03,"The structure,","La estructura,",,,jose,fuego
821,00:44:03:03,00:44:06:16,"It has a structure, I don't know if you have seen some sticks,","tiene una estructura, no sé si han visto unos palos,",,,jose,fuego
822,00:44:06:18,00:44:10:22,"better said, intertwined and the mamos","mejor dicho, entrecruzados y los mamos",,,jose,fuego
823,00:44:10:22,00:44:15:16,He says that the inside of xxxx is like this,dice que el interior de xxxx es así,,,jose,fuego
824,00:44:15:18,00:44:19:14,and it has nine circles above,y tiene arriba nueve círculos,,,jose,fuego
825,00:44:19:16,00:44:22:23,representing nine planets,que representan nueve planetas,,,jose,fuego
826,00:44:23:01,00:44:23:20,upwards,hacia arriba,,,jose,fuego
827,00:44:23:20,00:44:27:07,"and spiritual, one","y espiritual, uno",,,jose,fuego
828,00:44:27:09,00:44:32:06,In the center of the temple there are two posts that support,tiene en el centro del templo dos postes que sostienen,,,jose,fuego
829,00:44:32:08,00:44:35:01,that's what it represents,eso es lo que representa,,,jose,fuego
830,00:44:35:01,00:44:39:09,"the two mountains that come from the heart of the earth,","las dos montañas que viene desde el corazón de la tierra,",,,jose,fuego
831,00:44:39:11,00:44:43:15,holding this planet.,sosteniendo este planeta.,,,jose,fuego
832,00:44:43:17,00:44:45:05,and,y,,,jose,fuego
833,00:44:45:05,00:44:49:03,"That's how they build the temple,","de esa manera construyen el templo,",,,jose,fuego
834,00:44:49:04,00:44:52:16,because it was,porque fue,,,jose,fuego
835,00:44:52:18,00:44:54:21,a spiritual decision.,una decisión espiritual.,,,jose,fuego
836,00:44:54:21,00:44:57:15,Being a mother's son,Al ser hijo de la madre,,,jose,fuego
837,00:44:57:17,00:44:59:00,saw how,vio como,,,jose,fuego
838,00:44:59:00,00:45:02:17,It was the internal structure of Mother Earth,era la estructura interna de la Madre Tierra,,,jose,fuego
839,00:45:02:20,00:45:06:10,and from there he brought the teaching,y desde allí trajo la enseñanza,,,jose,fuego
840,00:45:06:12,00:45:10:08,and he didn't give it to us.,y no la dio a nosotros.,,,jose,fuego
841,00:45:10:10,00:45:11:09,"Lastly,","Como última cosa,",,,jose,fuego
842,00:45:14:13,00:45:16:17,well we are talking about the mountains that,pues estamos hablando de las montañas que,,,jose,fuego
843,00:45:16:17,00:45:20:05,"comes from the heart of the world, so I have heard","viene del corazón del mundo, entonces yo he escuchado",,,jose,fuego
844,00:45:20:05,00:45:23:05,"Well, all the peaks",que pues todos los picos,,,jose,fuego
845,00:45:23:08,00:45:25:16,"seniors are connected all over the world,","altos están conectados por todo el mundo,",,,jose,fuego
846,00:45:25:16,00:45:27:19,can you explain that to me.,me pueden explicar eso.,,,jose,fuego
847,00:45:27:19,00:45:32:18,"When he made the first mountain, the center","Cuando ya hizo la primera montaña, el centro",,,jose,fuego
848,00:45:32:20,00:45:36:18,"where he put the circle, where he put the mother","donde puso el círculo, donde puso la madre",,,jose,fuego
849,00:45:36:20,00:45:40:00,as the first mountain that connects with the center,como primera montaña que se conecta con el centro,,,jose,fuego
850,00:45:40:06,00:45:44:12,and that is why in the temple it is explained that,y por eso en el templo se explica que,,,jose,fuego
851,00:45:44:13,00:45:47:20,"things are placed, each thing","se van colocando cosas, cada cosa",,,jose,fuego
852,00:45:47:22,00:45:51:08,"around the center, of the stick,","alrededor del centro, del palo,",,,jose,fuego
853,00:45:51:10,00:45:54:20,that represent position of each mountain,que representan posición de cada montaña,,,jose,fuego
854,00:45:54:22,00:45:59:05,"and everything is connected,","y todo está conectado,",,,jose,fuego
855,00:45:59:07,00:46:03:02,"They are all tied together, they are all interconnected","todos están amarrados, todos se interconectan",,,jose,fuego
856,00:46:03:03,00:46:07:08,and that is what gives the perfection of the temple.,y eso es lo que le da la perfección del templo.,,,jose,fuego
857,00:46:07:10,00:46:09:00,So,Entonces,,,jose,fuego
858,00:46:09:00,00:46:13:14,mountains connect to each other,las montañas se conectan entre sí,,,jose,fuego
859,00:46:13:16,00:46:17:09,"and if one looks at a planetary level,","y si uno mira a nivel planetario,",,,jose,fuego
860,00:46:17:11,00:46:21:23,mountains exist as the highest in the world,existen las montañas como las más altas del mundo,,,jose,fuego
861,00:46:22:01,00:46:25:09,that connect.,que se conectan.,,,jose,fuego
862,00:46:25:11,00:46:27:18,and then the lower mountains.,y luego las montañas más bajas.,,,jose,fuego
863,00:46:27:18,00:46:30:16,So we start from the top with xxxx,Entonces empezamos desde arriba con xxxx,,,jose,fuego
864,00:46:30:16,00:46:32:12,the highest mountain,la montaña más alta,,,jose,fuego
865,00:46:32:12,00:46:35:12,"and then it starts to go lower, lower","y luego empieza a descender más baja, más baja",,,jose,fuego
866,00:46:35:12,00:46:38:23,and here ends this one called xxxx,y acá termina este que se llama xxxx,,,jose,fuego
867,00:46:39:01,00:46:41:06,"bigger and finishes sooner,","más grande y termina antes,",,,jose,fuego
868,00:46:41:06,00:46:44:18,when xxxx and xxxx had not been destroyed,cuando no se había destruido xxxx y xxxx,,,jose,fuego
869,00:46:44:20,00:46:50:15,"that ends as a low mountain,","que finaliza como montaña baja,",,,jose,fuego
870,00:46:50:17,00:46:53:09,That's what connection is.,eso es lo que es la conexión.,,,jose,fuego
871,00:46:53:09,00:46:54:10,Is that connection,¿Esa conexión es,,,jose,fuego
872,00:46:54:10,00:46:58:17,"spiritual?
It's spiritual, it's spiritual","espiritual?
Es espiritual, es espiritual",,,jose,fuego
873,00:46:58:17,00:47:02:17,because the mother's design is perfect,porque el diseño de la madre es perfecto,,,jose,fuego
874,00:47:02:19,00:47:06:22,"and on the spiritual plane it is aligned,","y en el plano espiritual esta alineado,",,,jose,fuego
875,00:47:07:00,00:47:10:21,"They are already aligned,","ya están alineados,",,,jose,fuego
876,00:47:10:22,00:47:15:09,"I don't know if you've seen the spider web, imagine the spider web.","no sé si han visto como en la telaraña, imagínate la telaraña.",,,jose,fuego
877,00:47:15:11,00:47:18:08,That is the fabric of the earth.,Ese es el tejido de la tierra.,,,jose,fuego
878,00:47:18:08,00:47:23:11,"They are all connected woven very tightly, in a spiral shape.","Todos están conectados tejidos muy bien, en forma espiral.",,,jose,fuego
879,00:47:23:13,00:47:26:20,And what happened in one place is accurate in the other place as well?,¿Y lo que pasó en un lugar es exacto al otro lugar también?,,,jose,fuego
880,00:47:26:20,00:47:28:14,That's why,Por eso,,,jose,fuego
881,00:47:28:14,00:47:32:17,if we damage that mountain it affects it,sí dañamos esa montaña afecta está,,,jose,fuego
882,00:47:32:17,00:47:37:16,Because they are connected below.,Porque están conectadas mas abajo.,,,jose,fuego
883,00:47:37:18,00:47:39:03,"And explain why,","Y explica por eso,",,,jose,fuego
884,00:47:39:03,00:47:43:11,"If it damages an organ, it affects the rest of the system,","si te daña un órgano, afecte el resto del sistema,",,,jose,fuego
885,00:47:43:11,00:47:47:18,the one that makes the body function.,el que hace funcionar el cuerpo.,,,jose,fuego
886,00:47:49:12,00:47:51:20,Can you explain how very quickly,¿Puedes explicar como muy rápido,,,jose,fuego
887,00:47:51:20,00:47:54:16,what's happening with Puerto Brisa and what is it?,lo que pasa con Puerto Brisa y que es?,,,jose,fuego
888,00:47:56:22,00:47:59:05,When the creation was established,Al constituirse la creación,,,jose,fuego
889,00:47:59:05,00:48:03:17,"as from the ancestral territory,","como del territorio ancestral,",,,jose,fuego
890,00:48:03:19,00:48:06:11,mother design,la madre diseño,,,jose,fuego
891,00:48:06:11,00:48:09:19,for the four communities,para las cuatro comunidades,,,jose,fuego
892,00:48:09:21,00:48:12:20,and of all the things that are in nature,y de todas las cosas que hay en la naturaleza,,,jose,fuego
893,00:48:13:00,00:48:15:18,"in a single space,","en un solo espacio,",,,jose,fuego
894,00:48:15:18,00:48:18:02,so everyone can do work,para que todo el mundo pueda hacer trabajo,,,jose,fuego
895,00:48:18:02,00:48:20:02,of everything on earth,de todo lo que hay en la tierra,,,jose,fuego
896,00:48:20:02,00:48:22:06,or in the ancestral territory.,o en el territorio ancestral.,,,jose,fuego
897,00:48:22:06,00:48:26:03,That's why there was a gap before.,Por eso antes había una laguna,,,jose,fuego
898,00:48:26:05,00:48:28:15,"immense,","inmensa,",,,jose,fuego
899,00:48:28:15,00:48:30:19,a lagoon in the center,una laguna en el centro,,,jose,fuego
900,00:48:30:19,00:48:35:23,and it had rings of every species of plant.,y tenía anillos de cada especie de planta.,,,jose,fuego
901,00:48:36:01,00:48:39:01,"We had a kind of palm,","Teníamos una especie de palma,",,,jose,fuego
902,00:48:39:06,00:48:43:05,that surrounded the lagoon and on the second level,que rodeaba la laguna y en el segundo nivel,,,jose,fuego
903,00:48:43:07,00:48:46:04,a species of other vegetation and,una especie de otra vegetación y,,,jose,fuego
904,00:48:46:04,00:48:48:22,so nine rings,así nueve anillos,,,jose,fuego
905,00:48:48:22,00:48:51:09,"I had that region,","tenía esa región,",,,jose,fuego
906,00:48:51:09,00:48:56:02,"and then birds, animals...","y luego aves, animales…",,,jose,fuego
907,00:48:56:04,00:48:58:11,everything was concentrated there,todo se concentraba ahí,,,jose,fuego
908,00:48:58:11,00:49:01:17,And what does it mean?,Y ¿qué significa?,,,jose,fuego
909,00:49:01:17,00:49:05:23,Because there the mother integrated everything,Porque ahí la madre integró todo,,,jose,fuego
910,00:49:06:00,00:49:08:16,and forces the four brothers to,y obliga a los cuatro hermanos a,,,jose,fuego
911,00:49:08:16,00:49:13:14,perform work there collectively,realizar trabajo allí colectivamente,,,jose,fuego
912,00:49:13:16,00:49:17:01,"so that the integrity is not lost,","para que no se pierda la integralidad,",,,jose,fuego
913,00:49:17:07,00:49:20:21,It has to be united.,tiene que estar unida.,,,jose,fuego
914,00:49:20:23,00:49:24:03,"So what happened, since it was a source","Entonces que paso, pues como era fuente",,,jose,fuego
915,00:49:24:03,00:49:27:20,"principal of spiritual life,","principal de la vida espiritual,",,,jose,fuego
916,00:49:27:22,00:49:31:03,when all this went bad,cuando se dañó todo esto,,,jose,fuego
917,00:49:31:05,00:49:33:17,altered,alteró,,,jose,fuego
918,00:49:33:17,00:49:39:01,the rest of the fabric from sacred sites,el resto de tejido de sitios sagrados,,,jose,fuego
919,00:49:39:03,00:49:42:21,and species began to appear that the mother,y empezaron a aparecer especies que la madre,,,jose,fuego
920,00:49:42:21,00:49:46:15,"left beyond the ancestral territory,","dejó más allá de del territorio ancestral,",,,jose,fuego
921,00:49:46:17,00:49:49:21,"a bird, some black birds,","un pájaro, unos pájaros negros,",,,jose,fuego
922,00:49:49:23,00:49:54:04,They began to enter the territory and eat others.,empezaron a introducirse en el territorio y a comerse otros,,,jose,fuego
923,00:49:54:04,00:49:57:04,"birds, to dig their nests,","pájaros, a cavar los nidos,",,,jose,fuego
924,00:49:57:04,00:50:01:14,"a total disaster, illness,","un desastre total, enfermedad,",,,jose,fuego
925,00:50:01:15,00:50:02:19,new diseases,nuevas enfermedades,,,jose,fuego
926,00:50:02:19,00:50:07:05,"to the territory. It started to dry, when it happened","al territorio. Empezó a secarse, cuando ocurrió",,,jose,fuego
927,00:50:07:05,00:50:09:11,"all the avocado dried ,","se seco todo el aguacate,",,,jose,fuego
928,00:50:09:11,00:50:11:01,"plague fell on him,","le cayó plaga,",,,jose,fuego
929,00:50:11:01,00:50:14:01,"Well, it also has another explanation for the fumigation.",pues también tiene otra explicación por la fumigación.,,,jose,fuego
930,00:50:14:03,00:50:17:03,"And well, the fumigation is great.","Y bueno, de ñapa la fumigación.",,,jose,fuego
931,00:50:17:04,00:50:18:19,But,Pero,,,jose,fuego
932,00:50:18:19,00:50:21:13,his spiritual destruction was there,su destrucción espiritual fue ahí,,,jose,fuego
933,00:50:21:13,00:50:25:11,and many species were disappearing.,y muchas especies fueron desapareciendo.,,,jose,fuego
934,00:50:25:13,00:50:28:09,"The water began to go down,","El agua empezó a bajar,",,,jose,fuego
935,00:50:28:09,00:50:32:00,the water level low.,el nivel del agua bajo.,,,jose,fuego
936,00:50:32:02,00:50:35:14,"That is, who made what and what is Puerto Brisa?","¿Es decir, quien hizo que y que es puerto Brisa?",,,jose,fuego
937,00:50:35:16,00:50:36:08,"Well,","Pues,",,,jose,fuego
938,00:50:36:08,00:50:39:11,Puerto Brisa is a foreign company,Puerto Brisa es una compañía extranjera,,,jose,fuego
939,00:50:39:13,00:50:45:00,Brazilian company that was located there as a strategic point,brasilera que se ubicaron ahí como punto estratégico,,,jose,fuego
940,00:50:45:00,00:50:50:20,"to transport coal from Cerrejón in La Guajira,","para transportar carbón desde el Cerrejón en La Guajira,",,,jose,fuego
941,00:50:50:22,00:50:55:07,why the Port of Santa Marta is a bit long.,por qué el Puerto de Santa Marta es un poco largo.,,,jose,fuego
942,00:50:55:07,00:50:56:18,So,Entonces,,,jose,fuego
943,00:50:56:18,00:50:59:13,that's the closest point,ahí es el punto más cercano,,,jose,fuego
944,00:50:59:13,00:51:01:19,to transport in trucks there,para transportar en camiones hasta ahí,,,jose,fuego
945,00:51:01:19,00:51:05:20,and transport to other countries.,y transportar a otros países.,,,jose,fuego
946,00:51:05:22,00:51:08:02,"So, for that reason,","Entonces, por eso,",,,jose,fuego
947,00:51:08:02,00:51:11:23,because there were no other places on the beach like,porque no había en la playa otros lugares como,,,jose,fuego
948,00:51:12:01,00:51:12:23,with that,con esa,,,jose,fuego
949,00:51:12:23,00:51:16:07,"training to be a port,","formación para ser puerto,",,,jose,fuego
950,00:51:16:09,00:51:17:21,"then they burst,","entonces reventaron,",,,jose,fuego
951,00:51:17:21,00:51:22:04,"Before it was a mountain, a single mountain that was formed there","antes era una montaña, una sola montaña que se formaba ahí",,,jose,fuego
952,00:51:22:05,00:51:26:17,and what they did was split that mountain in half,y lo que hicieron fue partir esa montaña por la mitad,,,jose,fuego
953,00:51:26:19,00:51:30:05,and damaged these lagoons,y dañaron estas lagunas,,,jose,fuego
954,00:51:30:07,00:51:33:07,and they lasted months,y duraron meses,,,jose,fuego
955,00:51:33:11,00:51:35:17,throwing everything away,botando todo,,,jose,fuego
956,00:51:35:17,00:51:37:21,and,y,,,jose,fuego
957,00:51:37:21,00:51:40:21,There it smelled like metal.,ahí olía de todo como a metal.,,,jose,fuego
958,00:51:40:22,00:51:45:00,"Everything, everything and it's over.","Todo, todo y se acabó.",,,jose,fuego
959,00:51:45:02,00:51:46:08,The four towns,Los cuatro pueblos,,,jose,fuego
960,00:51:46:08,00:51:50:01,"They fought, but","pelearon, pero",,,jose,fuego
961,00:51:50:03,00:51:54:01,nothing happened.,no pasó nada.,,,jose,fuego
962,00:00:02:12,00:00:04:23,So can you explain,Entonces ¿puede explicar,,,carmen,coca
963,00:00:04:23,00:00:09:19,what are you doing and what is this plant?,qué está haciendo y cuál es esta planta?,,,carmen,coca
964,00:00:09:21,00:00:13:11,"Well, this one kills","Bueno, esta mata",,,carmen,coca
965,00:00:13:13,00:00:14:21,"is called,","se llama,",,,carmen,coca
966,00:00:14:21,00:00:17:09,"we traditionally,","nosotros tradicionalmente,",,,carmen,coca
967,00:00:17:09,00:00:20:21,This is xxxx .,este es xxxx.,,,carmen,coca
968,00:00:20:23,00:00:21:07,Yeah,Sí,,,carmen,coca
969,00:00:21:07,00:00:25:16,"and it is a bush, a sacred bush.","y es una mata, una mata sagrada.",,,carmen,coca
970,00:00:25:18,00:00:30:18,A sacred daughter of Mother Earth.,Una hija sagrada de la Madre Tierra.,,,carmen,coca
971,00:00:30:20,00:00:32:23,She is a woman too.,Es una mujer también.,,,carmen,coca
972,00:00:32:23,00:00:35:23,"Therefore, when it grows","Por eso, cuando va creciendo",,,carmen,coca
973,00:00:36:00,00:00:38:11,"she blooms,","ella florece,",,,carmen,coca
974,00:00:38:11,00:00:40:10,bloom and,florecen y,,,carmen,coca
975,00:00:40:10,00:00:43:19,bloom,florecen,,,carmen,coca
976,00:00:43:21,00:00:46:04,"and they vote for a fruit, the red seed,","y votan una frutica, la semilla roja,",,,carmen,coca
977,00:00:46:04,00:00:50:18,"Like us women who grow, we flourish","como nosotras las mujeres que crecemos, florecemos",,,carmen,coca
978,00:00:50:18,00:00:52:06,and we reproduce.,y nos reproducimos.,,,carmen,coca
979,00:00:52:06,00:00:58:04,The same thing happens with the xxxx bush .,Igual pasa con la mata xxxx.,,,carmen,coca
980,00:00:58:06,00:01:01:23,"She is a sacred bush that we xxxx ,","Ella es una mata sagrada que nosotros los xxxx,",,,carmen,coca
981,00:01:02:01,00:01:04:13,"Well, men xxxx , we","pues los hombres xxxx, nosotras",,,carmen,coca
982,00:01:04:13,00:01:08:22,The women pick it up and the men,las mujeres la recogemos y los hombres,,,carmen,coca
983,00:01:08:22,00:01:12:21,They roast it in a clay pot,la tuestan en una olla de barro,,,carmen,coca
984,00:01:12:23,00:01:16:07,and they chew it,y la mastican,,,carmen,coca
985,00:01:16:09,00:01:18:08,"with lime,","con cal,",,,carmen,coca
986,00:01:18:08,00:01:22:09,They chew it and then that leaf,la mastican y luego esa hoja,,,carmen,coca
987,00:01:22:11,00:01:24:20,they pass it to the calabash,se la pasan al calabazo,,,carmen,coca
988,00:01:24:20,00:01:28:12,which becomes the poporo.,que se convierte en el poporo.,,,carmen,coca
989,00:01:28:14,00:01:33:12,"So yes, it is a sacred bush.","Entonces sí, es una mata sagrada.",,,carmen,coca
990,00:01:33:14,00:01:35:04,And that,Y esa,,,carmen,coca
991,00:01:35:04,00:01:40:18,"because men use it, what is produced for them?","porque los hombres la usan, ¿que se produce para ellos?",,,carmen,coca
992,00:01:40:20,00:01:43:03,good since,Bueno desde,,,carmen,coca
993,00:01:43:03,00:01:43:22,the beginning,el comienzo,,,carmen,coca
994,00:01:43:22,00:01:47:17,They left us this bush for men to chew,nos dejaron esta mata para que los hombres la mastiquen,,,carmen,coca
995,00:01:47:18,00:01:49:16,and,y,,,carmen,coca
996,00:01:49:16,00:01:54:08,"When they are men, they chew it and then","cuando ya sean ya hombres, la mastiquen y pues se la",,,carmen,coca
997,00:01:54:08,00:01:56:18,"they deliver the mamos with their authorization,","entregan los mamos con autorización de ellos,",,,carmen,coca
998,00:01:56:18,00:01:59:14,"Now they can chew,","ya ellos pueden masticar,",,,carmen,coca
999,00:01:59:14,00:02:03:14,symbolizing that a man can now have a woman.,simbolizando que ya el hombre ya puede tener mujer.,,,carmen,coca
1000,00:02:03:16,00:02:05:11,"So, that's why, since this is a woman,","Entonces, por eso, como esto es mujer,",,,carmen,coca
1001,00:02:05:11,00:02:07:08,now they can chew,ya ellos pueden masticar,,,carmen,coca
1002,00:02:07:08,00:02:08:07,the sheet,la hoja,,,carmen,coca
1003,00:02:08:07,00:02:09:01,represents,que representa,,,carmen,coca
1004,00:02:09:01,00:02:13:02,the woman and that they can already have a woman.,la mujer y que ellos ya pueden tener mujer.,,,carmen,coca
1005,00:02:13:04,00:02:16:13,This also helps,También esto ayuda,,,carmen,coca
1006,00:02:16:15,00:02:19:10,"how to alleviate hunger,","como a mitigar el hambre,",,,carmen,coca
1007,00:02:19:10,00:02:21:09,"that when he is on the hill,","que cuando está en la loma,",,,carmen,coca
1008,00:02:21:09,00:02:24:07,"when it's like in a meeting,","cuando está como en reunión,",,,carmen,coca
1009,00:02:24:07,00:02:27:17,He starts chewing and concentrating.,se pone a masticar y a concentrarse.,,,carmen,coca
1010,00:02:27:19,00:02:32:05,"When he is concentrated, he is with the bush, chewing the bush.","Cuando está concentrado, está con la mata, masticando la mata.",,,carmen,coca
1011,00:02:32:07,00:02:32:18,Women too?,¿Las mujeres también?,,,carmen,coca
1012,00:02:32:18,00:02:35:06,"The leaves, the leaves, chewing the little leaves.","Las hojas, las hojas, masticando las hojitas.",,,carmen,coca
1013,00:02:35:06,00:02:39:00,"No, not women, we only collect them","No, las mujeres no, solamente las recogemos",,,carmen,coca
1014,00:02:39:02,00:02:43:06,here. We,aquí. Nosotras,,,carmen,coca
1015,00:02:43:08,00:02:45:04,we do the work.,hacemos el trabajo.,,,carmen,coca
1016,00:02:45:04,00:02:47:10,"Is it a type, a plant,","¿Es un tipo, una planta,",,,carmen,coca
1017,00:02:47:10,00:02:50:14,"coke-like guy too, or not?","tipo parecido a la coca también, o no?",,,carmen,coca
1018,00:02:50:14,00:02:52:11,This is the same coke.,Este es la misma coca.,,,carmen,coca
1019,00:02:52:11,00:02:57:10,"But here the non-indigenous calls it coca, which","Sino que acá el no indígena lo llama coca, que",,,carmen,coca
1020,00:02:57:11,00:03:00:08,"It sounds very very ugly,","suena muy muy feo,",,,carmen,coca
1021,00:03:00:08,00:03:03:06,that that name,que ese nombre,,,carmen,coca
1022,00:03:03:06,00:03:05:02,that the non-indigenous gave him,que le dieron los no indígena,,,carmen,coca
1023,00:03:05:02,00:03:08:22,"They misused it, so they see it as a bad plant,","le dieron mal uso, entonces ya lo ven como una mata mala,",,,carmen,coca
1024,00:03:08:22,00:03:10:07,"but it's not a bad bush,","pero no es una mata mala,",,,carmen,coca
1025,00:03:10:07,00:03:14:15,"It is a normal bush, for us it is a bush that does not have,","es una mata normal, para nosotros es una mata que no tiene,",,,carmen,coca
1026,00:03:14:17,00:03:18:15,"It doesn't do any harm, nothing.","no hace ningún daño, nada.",,,carmen,coca
1027,00:03:18:17,00:03:21:16,"The woman, yes a woman then","La mujer, si una mujer pues",,,carmen,coca
1028,00:03:21:16,00:03:24:12,"They train her badly because she is bad,","la entrenan mal pues es mala,",,,carmen,coca
1029,00:03:24:12,00:03:27:22,"It's the same, for us it is a normal bush,","es igual, para nosotros es una mata normal,",,,carmen,coca
1030,00:03:28:00,00:03:32:18,"It doesn't have any, it doesn't do any damage, it's a normal bush.","no tiene ningún, no hace ningún daño, es una mata normal.",,,carmen,coca
1031,00:03:32:20,00:03:35:16,But what does it do very well?,¿Sino que hace muy bien?,,,carmen,coca
1032,00:03:35:16,00:03:39:15,"Yeah.
And they plant it here?
Yeah.","Sí.
¿y aquí lo siembran?
Sí.",,,carmen,coca
1033,00:03:39:16,00:03:42:11,All. Every family,Todo. Cada familia,,,carmen,coca
1034,00:03:42:13,00:03:44:11,or each couple has their…,o cada pareja tiene su…,,,carmen,coca
1035,00:03:44:11,00:03:49:20,"its nuance of xxxx , that is its traditional name.","su matica de xxxx, ese es su nombre tradicional.",,,carmen,coca
1036,00:03:49:22,00:03:52:21,xxxx .,xxxx.,,,carmen,coca
1037,00:03:53:00,00:03:56:23,"And it also grows here, like naturally here?","¿Y también crece acá, como naturalmente aquí?",,,carmen,coca
1038,00:03:57:01,00:04:01:12,"Yes, this is natural here in the mountains, in any climate,","Sí, esta es natural acá en la sierra, en cualquier clima da,",,,carmen,coca
1039,00:04:01:14,00:04:04:14,It is born in any climate.,en cualquier clima nace.,,,carmen,coca
1040,00:04:04:15,00:04:08:10,Very good.,Muy bien.,,,carmen,coca
1041,00:04:12:18,00:04:16:22,How,¿Cómo,,,carmen,coca
1042,00:04:17:00,00:04:19:04,,la,,,carmen,coca
1043,00:04:19:04,00:04:23:11,do you collect?,recolectas?,,,carmen,coca
1044,00:04:23:13,00:04:26:16,"We pick it up individually, as a group.","La recogemos individualmente, en grupo.",,,carmen,coca
1045,00:04:26:16,00:04:30:11,"When we are in a meeting in the town, well","Cuando estamos en reunión en el pueblo, pues",,,carmen,coca
1046,00:04:30:13,00:04:32:11,we go in a small group and,vamos en grupito y la,,,carmen,coca
1047,00:04:32:11,00:04:36:12,"We pick up, we help each other just like what happens in the Big House.","recogemos, nos ayudamos igual como pasa en la Casa Grande.",,,carmen,coca
1048,00:04:36:12,00:04:39:12,In xxxx,En xxxx,,,carmen,coca
1049,00:04:39:13,00:04:43:08,"to help us,","a ayudarnos, que",,,carmen,coca
1050,00:04:43:10,00:04:44:19,"I don't know if you have heard the word xxxx ,","no sé si ha escuchado la palabra xxxx,",,,carmen,coca
1051,00:04:44:19,00:04:50:01,"It's like helping each other,","es como ayudarse unos a otros,",,,carmen,coca
1052,00:04:50:03,00:04:53:15,"being together, xxxx , like always helping each other.","estar juntos, xxxx, como ayudándose siempre.",,,carmen,coca
1053,00:04:53:17,00:04:54:20,Like the store?,¿Como la tienda?,,,carmen,coca
1054,00:04:54:20,00:04:57:20,"Like the store, that's why it's called xxxx .","Como la tienda, por eso se llama xxxx.",,,carmen,coca
1055,00:04:57:20,00:05:00:01,And that's like helping each other?,¿Y eso es como ayudarse mutuamente?,,,carmen,coca
1056,00:05:00:01,00:05:01:18,Mutually.,Mutuamente.,,,carmen,coca
1057,00:05:01:18,00:05:06:09,This also helps us,Esto también nos ayuda,,,carmen,coca
1058,00:05:06:11,00:05:08:04,"that we share, that","a que compartamos, a que",,,carmen,coca
1059,00:05:08:04,00:05:12:11,"Let's talk, one is picking up the bush and is talking, this...","hablemos, uno está recogiendo la mata y está hablando, esta…",,,carmen,coca
1060,00:05:12:13,00:05:14:12,Yeah.,si.,,,carmen,coca
1061,00:05:14:12,00:05:18:05,So the leaves grow back?,¿Entonces las hojas crecen de nuevo?,,,carmen,coca
1062,00:05:18:10,00:05:21:06,If one removes all the leaves,Si uno le quita todas las hojas,,,carmen,coca
1063,00:05:21:06,00:05:22:06,and that's it,y ya,,,carmen,coca
1064,00:05:22:06,00:05:25:23,"After two weeks it comes back and sprouts, it grows little leaves.","a las dos semanas ya vuelve y retoña, le salen hojitas",,,carmen,coca
1065,00:05:26:01,00:05:30:06,and now they turn this color like this.,y ya se ponen así de este color.,,,carmen,coca
1066,00:05:30:08,00:05:31:19,When they are cool,Cuando están fresquitas,,,carmen,coca
1067,00:05:31:19,00:05:35:02,They are like more yellowish green.,están así como más verde amarillento.,,,carmen,coca
1068,00:05:35:06,00:05:39:04,"When they are ready to chew,","Cuando ya están bien para masticar, para",,,carmen,coca
1069,00:05:39:04,00:05:44:02,"collect, for consumption it is already like this, it turns greener,","recoger, para el consumo ya esta así, se pone color más verde,",,,carmen,coca
1070,00:05:44:04,00:05:44:23,dark green.,verde oscuro.,,,carmen,coca
1071,00:05:44:23,00:05:46:02,Can you show us the yellow ones?,¿Nos puede mostrar las amarillas?,,,carmen,coca
1072,00:05:46:02,00:05:51:18,The yellow ones are cooler here.,Las amarillas están acá más fresquitas.,,,carmen,coca
1073,00:05:51:20,00:05:53:05,Are,Estas,,,carmen,coca
